,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ADVANCE AUTO PARTS INC,COM,00751Y106,54740,341397,SH,,OTR,2,0,341397,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
4,AGROFRESH SOLUTIONS,*W EXP 07/31/202,00856G117,500,500000,SH,,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
5,ALLERGAN PLC,SHS,G0177J108,42020,156774,SH,,OTR,2,0,156774,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
6,ALPHABET INC,CAP STK CL A,02079K305,28715,37639,SH,,OTR,2,0,37639,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
7,AMAZON COM INC,COM,023135106,62231,104830,SH,,OTR,2,0,104830,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
8,APOLLO COML REAL EST FIN INC,COM,03762U105,26180,1606139,SH,,SOLE,,1606139,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
9,AXOVANT SCIENCES LTD,COM,G0750W104,4060,353669,SH,,SOLE,,4060,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
10,BASIC ENERGY SVCS INC NEW,COM,06985P100,433,156727,SH,,SOLE,,156730,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
11,BEAZER HOMES USA INC,COM NEW,07556Q881,3951,453050,SH,,OTR,2,0,453050,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
12,BIOSCRIP INC,COM,09069N108,36,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
13,BLACKSTONE MTG TR INC,COM CL A,09257W100,92516,4367663,SH,,SOLE,,4367663,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
14,BOOZ ALLEN HAMILTON HLDG,CL A,099502106,3511,115960,SH,,OTR,1,0,115960,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
15,BRIXMOR PPTY GROUP INC,COM,11120U105,2768332,108053553,SH,,SOLE,,108053553,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
16,CATALENT INC,COM,148806102,690386,25886244,SH,,OTR,3,0,25886244,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
17,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,22694,786907,SH,,OTR,3,0,786907,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
18,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,78906,2736009,SH,,OTR,1,0,2736009,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
19,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,55941,3097530,SH,,OTR,1,0,3097530,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
20,CHESAPEAKE ENERGY CORP,COM,165167107,10300,2500000,SH,Put,OTR,1,0,2500000,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
21,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,9439,2008288,SH,,OTR,1,0,2008288,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
22,DOLLAR GEN CORP NEW,COM,256677105,61064,713364,SH,,OTR,2,0,713364,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
23,EAGLE MATERIALS INC,COM,26969P108,30622,436767,SH,,OTR,2,0,436767,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
24,EASTMAN KODAK CO,COM NEW,277461406,96296,8875211,SH,,OTR,1,0,8875211,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
25,EASTMAN KODAK CO,*W EXP 09/03/201,277461133,305,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
26,EASTMAN KODAK CO,*W EXP 09/03/201,277461141,209,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
27,ECLIPSE RES CORP,COM,27890G100,4910,3410000,SH,,OTR,1,0,3410000,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
28,ELLINGTON RESIDENTIAL MTG RE,COM SHS BEN INT,288578107,32196,2689702,SH,,SOLE,,2689702,0,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
29,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,16875,1500000,SH,,OTR,1,0,1500000,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
30,ENVIVA PARTNERS LP,COM UNIT,29414J107,9445,434847,SH,,OTR,1,0,434847,0,cik_number_0001393818,Blackstone Inc,2016-03-31,Form 13F-HR
