,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,"2U, Inc.",COM,90214J101,38,1498,SH,,SOLE,,1498,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
4,APOLLO COML REAL EST FIN INC,COM,03762U105,26452,1539692,SH,,SOLE,,1539692,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
5,BASIC ENERGY SVCS INC NEW,COM,06985P100,2172,313454,SH,,SOLE,,313454,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
6,BEAZER HOMES USA INC,COM NEW,07556Q881,5475,309000,SH,,SOLE,,309000,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
7,BIOSCRIP INC,COM,09069N108,85,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
8,BLACKSTONE MTG TR INC,COM CL A,09257W100,89029,3138156,SH,,SOLE,,3138156,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
9,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,3356,115960,SH,,OTR,1,0,115960,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
10,BOULEVARD ACQUISITION CORP,UNIT 02/19/2019,10157P203,10140,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
11,BRIXMOR PPTY GROUP INC,COM,11120U105,3319034,125010693,SH,,SOLE,,125010693,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
12,BURLINGTON STORES INC,COM,122017106,9270,156000,SH,,SOLE,,156000,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
13,CADENCE DESIGN SYSTEM INC,COM,127387108,6821,369904,SH,,SOLE,,369904,0,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
14,CAESARS ENTMT CORP,COM,127686103,5265,500000,SH,Call,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2015-03-31,Form 13F-HR
