,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ANTERO RES CORP,COM,03674X106,272,7911,SH,,SOLE,,7911,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
4,APOLLO COML REAL EST FIN INC,COM,03762U105,25297,1539692,SH,,SOLE,,1539692,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
5,AUTOZONE INC,COM,053332102,36479,54700,SH,,SOLE,,54700,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
6,BASIC ENERGY SVCS INC NEW,COM,06985P100,2367,313454,SH,,SOLE,,313454,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
7,BEAZER HOMES USA INC,COM NEW,07556Q881,10633,533000,SH,,SOLE,,533000,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
8,BIOSCRIP INC,COM,09069N108,70,19224,SH,,OTR,1,0,19224,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
9,BLACKSTONE MTG TR INC,COM CL A,09257W100,121508,4367663,SH,,SOLE,,4367663,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
10,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,2927,115960,SH,,OTR,1,0,115960,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
11,BOULEVARD ACQUISITION CORP,UNIT 02/19/2019,10157P203,13990,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
12,BRIXMOR PPTY GROUP INC,COM,11120U105,2811623,121557416,SH,,SOLE,,121557416,0,0,cik_number_0001393818,Blackstone Inc,2015-06-30,Form 13F-HR
