,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ALLIANT ENERGY CORP,COM,018802108,24293,575000,SH,,OTR,4,0,575000,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
4,AMALGAMATED BK NEW YORK N Y,CLASS A,022663108,3840,196910,SH,,OTR,4,0,196910,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
5,AMERICOLD RLTY TR,COM,03064D108,5126,200700,SH,,OTR,4,0,200700,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
6,ANAPLAN INC,COM,03272L108,3981,150000,SH,,OTR,4,0,150000,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
7,AVROBIO INC,COM,05455M100,49323,2962325,SH,,OTR,3,0,2962325,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
8,BLACKSTONE MTG TR INC,COM CL A,09257W100,167951,5271543,SH,,SOLE,,6229417,0,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
9,C&J ENERGY SVCS INC NEW,COM,12674R100,27279,2020635,SH,,OTR,1,0,2020635,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
10,CAESARS ENTMT CORP,COM,127686103,28871,4252048,SH,,OTR,2,0,4252048,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
11,CAESARS ENTMT CORP,COM,127686103,28871,4252048,SH,,SOLE,,4252048,0,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
12,CATABASIS PHARMACEUTICALS IN,COM,14875P206,878,200819,SH,,OTR,3,0,200819,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
13,CENTRIC BRANDS INC,COM,15644G104,24703,7201921,SH,,SOLE,,7201921,0,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
14,CENTRIC BRANDS INC,COM,15644G104,64201,18717500,SH,,OTR,1,0,18717500,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
15,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,7255751,200990333,SH,,OTR,2,0,200990333,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
16,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,85580,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
17,COREPOINT LODGING INC,COM,21872L104,215435,17586537,SH,,SOLE,,17586537,0,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
18,CROCS INC,COM,227046109,179237,6899027,SH,,OTR,2,0,6899027,0,cik_number_0001393818,Blackstone Inc,2018-12-31,Form 13F-HR
