,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ADVANCE AUTO PARTS INC,COM,00751Y106,71561,442748,SH,,OTR,2,0,442748,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
4,AGROFRESH SOLUTIONS,*W EXP 07/31/202,00856G117,475,500000,SH,,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
5,ALLERGAN PLC,SHS,G0177J108,26406,114268,SH,,OTR,2,0,114268,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
6,ALLSTATE CORP,COM,020002101,30623,437789,SH,,OTR,2,0,437789,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
7,ALPHABET INC,CAP STK CL C,02079K107,15157,21900,SH,,OTR,2,0,21900,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
8,ALPHABET INC,CAP STK CL A,02079K305,54110,76912,SH,,OTR,2,0,76912,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
9,AMAYA INC,COM,02314M108,45745,2984025,SH,,OTR,1,0,2984025,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
10,AMAZON COM INC,COM,023135106,110168,153948,SH,,OTR,2,0,153948,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
11,AMC ENTMT HLDGS INC,CL A COM,00165C104,246,8900,SH,,OTR,2,0,8900,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
12,AMERICAN CAP MTG INVT CORP,COM,02504A104,2069,131056,SH,,OTR,2,0,131056,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
13,APOLLO COML REAL EST FIN INC,COM,03762U105,29682,1847019,SH,,SOLE,,1847019,0,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
14,APPLE INC,COM,037833100,25183,263417,SH,,OTR,2,0,263417,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
15,ARAMARK,COM,03852U106,3970,118800,SH,,OTR,2,0,118800,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
16,AXOVANT SCIENCES LTD,COM,G0750W104,4541,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
17,BAIDU INC,SPON ADR REP A,056752108,25499,154400,SH,,OTR,2,0,154400,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
18,BASIC ENERGY SVCS INC NEW,COM,06985P100,263,156727,SH,,SOLE,,156727,0,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
19,BEAZER HOMES USA INC,COM NEW,07556Q881,3511,453050,SH,,OTR,2,0,453050,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
20,BIOSCRIP INC,COM,09069N108,43,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
21,BLACKSTONE MTG TR INC,COM CL A,09257W100,117719,4254379,SH,,SOLE,,4702422,0,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
22,BOOZ ALLEN HAMILTON HLDG,CL A,099502106,1342,45286,SH,,OTR,1,0,45286,0,cik_number_0001393818,Blackstone Inc,2016-06-30,Form 13F-HR
