,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,APOLLO COML REAL EST FIN INC,COM,03762U105,11543,700000,SH,,SOLE,,700000,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
4,ARCH COAL INC,COM,039380100,19842,5436100,SH,,OTR,1,0,5436100,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
5,BEAZER HOMES USA INC,COM,07556Q881,28616,1363968,SH,,OTR,1,0,1363968,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
6,BIOSCRIP INC,COM,09069N108,160,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
7,BLACKSTONE MTG TR INC,COM CL A,09257W100,71363,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
8,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,3787,178317,SH,,OTR,1,0,178317,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
9,BOULEVARD ACQUISITION CORP,UNIT 99/99/9999,10157P203,10100,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
10,BRIXMOR PPTY GROUP INC,COM,11120U105,3261559,142115879,SH,,SOLE,,142115879,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
11,CARA THERAPEUTICS INC,COM,140755109,413,24254,SH,,SOLE,,24254,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
12,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,71799,2173087,SH,,OTR,1,0,2173087,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
13,CON-WAY INC,COM,205944101,49875,989384,SH,,OTR,1,0,989384,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
14,COTY INC,COM CL A,222070203,55,3228,SH,,SOLE,,3228,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
15,EASTMAN KODAK CO,COM NEW,277461406,201942,8252625,SH,,OTR,1,0,8252625,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
16,ELLINGTON RESIDENTIAL MTG REIT,COM SHS BEN INT,288578107,43522,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
17,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,286195,6869778,SH,,OTR,1,0,6869778,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
18,EV ENERGY PARTNERS LP,COM UNITS,26926V107,1651,41663,SH,,SOLE,,41663,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR
