,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,BANKUNITED INC,COM,06652K103,183091,5561692,SH,,SOLE,,5561692,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
4,BEAZER HOMES,COM,07556Q881,38834,1590245,SH,,OTR,1,0,1590245,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
5,"BIOSCRIP, INC.",COM,09069N108,142,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,66761,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
7,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,4321,225621,SH,,OTR,1,0,225621,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
8,BRIXMOR PPTY GROUP INC,COM,11120U105,3283186,161494622,SH,,SOLE,,161494622,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
9,CHENIERE ENERGY PARTNERS LP,COM UNITS,16411Q101,62259,2173087,SH,,OTR,1,0,2173087,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
10,CROSSTEX ENERGY INC,COM,22765Y104,253120,7000000,SH,,OTR,1,0,7000000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
11,CROSSTEX ENERGY LP,COM,22765U102,24900,902162,SH,,OTR,1,0,902162,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
12,DRYSHIPS INC.,NOTE 5.000% 12/0,262498AB4,59776,58856000,PRN,,OTR,1,0,58856000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
13,Eastman Kodak,COM NEW,277461406,286449,8252625,SH,,OTR,1,0,8252625,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
14,ELLINGTON RESIDENTIAL MTG REIT,COM,288578107,39305,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
15,EXTENDED STAY AMER INC,COM,30224P200,1462986,55711592,SH,,SOLE,,55711592,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
16,FELCOR LODGING TR INC,COM,31430F101,24741,3031958,SH,,OTR,1,0,3031958,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
17,FIDELITY NATIONAL FINANCIAL,CL A,31620R105,7107,219000,SH,Put,SOLE,,219000,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
18,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,3147997,196136895,SH,,OTR,,0,196136895,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
19,HealthSouth Corporation,COM,421924309,2777,83345,SH,,OTR,1,0,83345,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
20,HILTON WORLDWIDE HLDGS INC,COM,43300A104,16742964,752492744,SH,,SOLE,,752492744,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
21,ISTAR FINL INC,COM,45031U101,28555,2001065,SH,,OTR,1,0,2001065,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
22,KOSMOS ENERGY LTD,SHS,G5315B107,1253278,112100012,SH,,SOLE,,112100012,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
23,MBIA INC.,COM,55262C100,8955,750000,SH,Call,OTR,1,0,750000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
24,NIELSEN HOLDINGS N V,COM,N63218106,1312149,28593363,SH,,SOLE,,28593363,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
25,"OCEAN RIG UDW, INC.",SHS,Y64354205,19261,1000576,SH,,OTR,1,0,1000576,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
26,ORBITZ WORLDWIDE INC,COM,68557K109,24226,3374052,SH,,SOLE,,3374052,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
27,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,12612,2411556,SH,,SOLE,,2411556,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
28,PBF ENERGY INC,CL A,69318G106,814887,25902327,SH,,SOLE,,25902327,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
29,PENNEY J C INC,COM,708160106,915,100000,SH,,OTR,1,0,100000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
30,PENNEY J C INC,COM,708160106,13039,1425000,SH,Put,OTR,1,0,1425000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
31,PINNACLE FOODS INC,COM,72348P104,1646890,59974145,SH,,SOLE,,59974145,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
32,RADIOSHACK CORP,COM,750438103,3790,1457576,SH,,OTR,1,0,1457576,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
33,SARATOGA RES INC TEX,COM,803521103,5472,4800000,SH,,OTR,1,0,4800000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
34,SEAWORLD ENTMT INC,COM,81282V100,841329,29243281,SH,,SOLE,,29243281,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
35,SPDR SERIES TRUST,S&P REG BKG,78464A698,114890,2829100,SH,Put,SOLE,,2829100,0,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
36,UNITED STATES STL CORP NEW,COM,912909108,3687,125000,SH,Put,OTR,1,0,125000,0,cik_number_0001393818,Blackstone Inc,2013-12-31,Form 13F-HR
