,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ADVANCE AUTO PARTS INC,COM,00751Y106,37681,252686,SH,,OTR,2,0,252686,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
4,AGROFRESH SOLUTIONS,*W EXP 07/31/202,00856G117,289,370346,SH,,OTR,1,0,370346,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
5,ALLSTATE CORP,COM,020002101,22091,319324,SH,,OTR,2,0,319324,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
6,AMAYA INC,COM,02314M108,226431,13977234,SH,,OTR,1,0,13977234,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
7,AMAZON COM INC,COM,023135106,67614,80752,SH,,OTR,2,0,80752,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
8,AMC ENTMT HLDGS INC,CL A COM,00165C104,741,23831,SH,,OTR,2,0,23831,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
9,AMSURG CORP,COM,03232P405,17824,265836,SH,,OTR,2,0,265836,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
10,APOLLO COML REAL EST FIN INC,COM,03762U105,30236,1847019,SH,,SOLE,,1847019,0,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
11,ARAMARK,COM,03852U106,12619,331814,SH,,OTR,2,0,331814,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
12,ASPEN TECHNOLOGY INC,COM,045327103,6047,129242,SH,,OTR,2,0,129242,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
13,AXOVANT SCIENCES LTD,COM,G0750W104,4951,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
14,BIOSCRIP INC,COM,09069N108,49,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2016-09-30,Form 13F-HR
