,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AMAYA INC,COM,02314M108,197778,13977234,SH,,OTR,1,0,13977234,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
4,AXOVANT SCIENCES LTD,COM,G0750W104,4393,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
5,BIOSCRIP INC,COM,09069N108,17,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,134943,4487618,SH,,SOLE,,5263579,0,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
7,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,31736,1101169,SH,,OTR,3,0,1101169,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
8,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,78852,2736009,SH,,OTR,1,0,2736009,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
9,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,15310,684419,SH,,OTR,1,0,684419,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
10,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,16897,3345940,SH,,OTR,1,0,3345940,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
11,COMSTOCK RES INC,NOTE 7.750% 4/0,205768AM6,1760,2000000,PRN,,OTR,1,0,2000000,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
12,COMSTOCK RES INC,NOTE 9.500% 6/1,205768AN4,1806,2052250,PRN,,OTR,1,0,2052250,0,cik_number_0001393818,Blackstone Inc,2016-12-31,Form 13F-HR
