,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ALLY FINL INC,COM,02005N100,61587,2607404,SH,,OTR,1,0,2607404,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
4,APOLLO COML REAL EST FIN INC,COM,03762U105,14882,909674,SH,,SOLE,,909674,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
5,BEAZER HOMES USA INC,COM,07556Q881,22133,1143210,SH,,OTR,1,0,1143210,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
6,BIOSCRIP INC,COM,09069N108,134,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
7,BLACKSTONE MTG TR INC,COM CL A,09257W100,71707,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
8,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,3942,148579,SH,,OTR,1,0,148579,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
9,BOULEVARD ACQUISITION CORP,UNIT 99/99/9999,10157P203,10030,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
10,BRIXMOR PPTY GROUP INC,COM,11120U105,4058927,163402849,SH,,SOLE,,163402849,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
11,CADENCE DESIGN SYSTEM INC,COM,127387108,4987,262904,SH,,SOLE,,262904,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
12,CARA THERAPEUTICS INC,COM,140755109,242,24254,SH,,SOLE,,24254,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
13,CATALENT INC,COM,148806102,1799268,64536152,SH,,SOLE,,64536152,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
14,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,72739,2273087,SH,,OTR,1,0,2273087,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
15,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,56325,2500000,SH,,OTR,1,0,2500000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
16,CON-WAY INC,COM,205944101,62243,1265624,SH,,OTR,1,0,1265624,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
17,EASTMAN KODAK CO,COM NEW,277461406,179879,8285538,SH,,OTR,1,0,8285538,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
18,ELLINGTON RESIDENTIAL MTG REIT,COM SHS BEN INT,288578107,41580,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
19,ENERGY TRANSFER EQUITY L P,COM UT LTD PTN,29273V100,63426,1105368,SH,,OTR,1,0,1105368,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
20,ENERGY TRANSFER PRTNRS L P,UNIT LTD PARTN,29273R109,15999,246133,SH,,OTR,1,0,246133,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
21,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,173675,4884000,SH,,OTR,1,0,4884000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
22,EV ENERGY PARTNERS LP,COM UNITS,26926V107,803,41663,SH,,SOLE,,41663,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
23,EXTENDED STAY AMER INC,UNIT 99/99/9999B,30224P200,919556,47620730,SH,,SOLE,,47620730,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
24,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,4948534,196136895,SH,,OTR,,196136895,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
25,GLOBAL X FDS,FTSE GREECE 20,37950e366,14740,1100000,SH,Put,OTR,1,0,1100000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
26,GLYCOMIMETICS INC,COM,38000Q102,119,16576,SH,,SOLE,,16576,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
27,HILTON WORLDWIDE HLDGS INC,COM,43300A104,14203264,544394932,SH,,SOLE,,544394932,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
28,INTELSAT S A,COM,L5140P101,19294,1111433,SH,,SOLE,,1111433,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
29,ISHARES,IBOXX HI YD ETF,464288513,295680,3300000,SH,Put,OTR,1,0,3300000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
30,ISHARES,IBOXX HI YD ETF,464288513,313600,3500000,SH,Call,OTR,1,0,3500000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
31,ISTAR FINL INC,COM,45031U101,33847,2479668,SH,,OTR,1,0,2479668,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
32,KOSMOS ENERGY LTD,SHS,G5315B107,810076,96552512,SH,,SOLE,,96552512,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
33,LA QUINTA HLDGS INC,COM,50420D108,1302325,59035576,SH,,SOLE,,59035576,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
34,LAREDO PETROLEUM INC,COM,516806106,83,8000,SH,,SOLE,,8000,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
35,MARTIN MARIETTA MATLS INC,COM,573284106,3751,34000,SH,,SOLE,,34000,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
36,MICHAELS COS INC,COM,59408Q106,2014398,81455630,SH,,SOLE,,81455630,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
37,NATIONAL BK GREECE S A,SPN ADR REP 1 SH,633643705,3580,2000000,SH,Put,OTR,1,0,2000000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
38,NIELSEN HOLDINGS N V,COM,N63218106,540602,12085883,SH,,SOLE,,12085883,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
39,OCEAN RIG UDW INC,SHS,Y64354205,1058,114029,SH,,OTR,1,0,114029,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
40,ORBITZ WORLDWIDE INC,COM,68557K109,27768,3374052,SH,,SOLE,,3374052,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
41,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,18907,2411556,SH,,SOLE,,2411556,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
42,PBF ENERGY INC (b),CL A,69318G106,85541,3210988,SH,,SOLE,,3210988,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
43,PINNACLE ENTMT INC,COM,723456109,42905,1928298,SH,,OTR,1,0,1928298,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
44,PINNACLE FOODS INC,COM,72348P104,678612,19224145,SH,,SOLE,,19224145,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
45,PROSHARES TR,PSHS ULTSH 20YRS,74347b201,46390,1000000,SH,Call,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
46,PROSHARES TR,PSHS ULTSH 20YRS,74347b201,46390,1000000,SH,Put,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
47,PULTE GROUP INC,COM,745867101,4678,218000,SH,,SOLE,,218000,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
48,RENEWABLE ENERGY GROUP INC,COM NEW,75972A301,39,3987,SH,,SOLE,,3987,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
49,RETAILMENOT INC,COM SER 1,76132B106,31,2137,SH,,SOLE,,2137,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
50,SARATOGA RES INC TEX,COM,803521103,1056,4800000,SH,,OTR,1,0,4800000,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
51,SEAWORLD ENTMT INC,COM,81282V100,349087,19502063,SH,,SOLE,,19502063,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
52,SIX FLAGS ENTMT CORP NEW,COM,83001A102,4748,110025,SH,,SOLE,,110025,0,0,cik_number_0001393818,Blackstone Inc,2014-12-31,Form 13F-HR
