,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,BLACKSTONE MTG TR INC,COM CL A,09257W100,163276,5263579,SH,,SOLE,,5871368,0,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
4,C&J ENERGY SVCS INC NEW,COM,12674R100,150468,5020635,SH,,OTR,1,0,5020635,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
5,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,5766307,200080055,SH,,OTR,2,0,200080055,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
6,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,68322,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
7,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,13744,548012,SH,,OTR,1,0,548012,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
8,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,5572,1198257,SH,,OTR,1,0,1198257,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
9,COMSTOCK RES INC,NOTE 7.750% 4/0,205768AM6,846,1044347,PRN,,OTR,1,0,1044347,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
10,COMSTOCK RES INC,NOTE 9.500% 6/1,205768AN4,1720,2149731,PRN,,OTR,1,0,2149731,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
11,CVR PARTNERS LP,COM,126633106,19135,5924085,SH,,OTR,1,0,5924085,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
12,EASTMAN KODAK CO,COM NEW,277461406,65233,8875211,SH,,OTR,1,0,8875211,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
13,EASTMAN KODAK CO,*W EXP 09/03/201,277461133,17,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
14,EASTMAN KODAK CO,*W EXP 09/03/201,277461141,14,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
15,ECLIPSE RES CORP,COM,27890G100,8525,3410000,SH,,OTR,1,0,3410000,0,cik_number_0001393818,Blackstone Inc,2017-09-30,Form 13F-HR
