,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AMAYA INC,COM,02314M108,236543,13977234,SH,,OTR,1,0,13977234,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
4,AXOVANT SCIENCES LTD,COM,G0750W104,5284,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
5,BIOSCRIP,COM,09069N108,29,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,141623,4574376,SH,,SOLE,,5263579,0,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
7,C&J ENERGY SVCS INC NEW,COM,12674R100,256078,7520635,SH,,OTR,1,0,7520635,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
8,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,35579,1101169,SH,,OTR,3,0,1101169,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
9,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,76595,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
10,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,16714,684419,SH,,OTR,1,0,684419,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
11,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,13802,2281395,SH,,OTR,1,0,2281395,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
12,COMSTOCK RES INC,NOTE 7.750% 4/0,205768AM6,856,1000000,PRN,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
13,COMSTOCK RES INC,NOTE 9.500% 6/1,205768AN4,1778,2052250,PRN,,OTR,1,0,2052250,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
14,CVR PARTNERS LP,COM,126633106,40276,8661521,SH,,OTR,1,0,8661521,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
15,EASTMAN KODAK CO,COM,277432100,102065,8875211,SH,,OTR,1,0,8875211,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
16,EASTMAN KODAK CO,*W EXP 09/03/201,277461133,162,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
17,EASTMAN KODAK CO,*W EXP 09/03/201,277461141,117,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
18,ECLIPSE RES CORP,COM,27890G100,8661,3410000,SH,,OTR,1,0,3410000,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
19,ELLINGTON RESIDENTIAL MTG RE,COM SHS BEN INT,288578107,39431,2689702,SH,,SOLE,,2689702,0,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
20,ENVIVA PARTNERS LP,COM UNIT,29414J107,18461,656974,SH,,OTR,1,0,656974,0,cik_number_0001393818,Blackstone Inc,2017-03-31,Form 13F-HR
