,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AMERIGAS PARTNERS L P,UNIT L P INT,030975106,6987,151132,SH,,OTR,3,0,151132,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
4,ANADARKO PETE CORP,COM,032511107,290,5400,SH,,OTR,3,0,5400,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
5,ANDEAVOR LOGISTICS LP,COM UNIT LP INT,03350F106,355965,7706537,SH,,OTR,3,0,7706537,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
6,ANTERO MIDSTREAM GP LP,COM SHS REPSTG,03675Y103,8074,409431,SH,,OTR,3,0,409431,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
7,ANTERO MIDSTREAM PARTNERS LP,UNT LTD PARTN,03673L103,176857,6090106,SH,,OTR,3,0,6090106,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
8,ANTERO RES CORP,COM,03674X106,402,21149,SH,,OTR,3,0,21149,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
9,ARCHROCK INC,COM,03957W106,11796,1123414,SH,,OTR,3,0,1123414,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
10,ARCHROCK PARTNERS L P,COM UNITS REPSTG,03957U100,60687,5095454,SH,,OTR,3,0,5095454,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
11,BLACKSTONE MTG TR INC,COM CL A,09257W100,156349,4858563,SH,,SOLE,,5727621,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
12,BOARDWALK PIPELINE PARTNERS,UT LTD PARTNER,096627104,109828,8507167,SH,,OTR,3,0,8507167,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
13,BP MIDSTREAM PARTNERS LP,UNIT LTD PTNR,0556EL109,87349,4246420,SH,,OTR,3,0,4246420,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
14,BUCKEYE PARTNERS L P,UNIT LTD PARTN,118230101,247363,4992198,SH,,OTR,3,0,4992198,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
15,C&J ENERGY SVCS INC NEW,COM,12674R100,134571,4020635,SH,,OTR,1,0,4020635,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
16,CHENIERE ENERGY INC,COM NEW,16411R208,133825,2485612,SH,,OTR,3,0,2485612,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
17,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,5957353,200990333,SH,,OTR,2,0,200990333,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
18,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,70266,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
19,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,15174,548012,SH,,OTR,1,0,548012,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
20,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,1143,41292,SH,,OTR,3,0,41292,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
21,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,5342,1161349,SH,,OTR,1,0,1161349,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
22,COMSTOCK RES INC,NOTE 7.750% 4/0,205768AM6,993,1084815,PRN,,OTR,1,0,1084815,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
23,COMSTOCK RES INC,NOTE 9.500% 6/1,205768AN4,2060,2251843,PRN,,OTR,1,0,2251843,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
24,CROSSAMERICA PARTNERS LP,UT LTD PTN INT,22758A105,72679,3060165,SH,,OTR,3,0,3060165,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
25,CVR PARTNERS LP,COM,126633106,29697,9053827,SH,,OTR,1,0,9053827,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
26,DCP MIDSTREAM LP,COM UT LTD PTN,23311P100,194965,5366499,SH,,OTR,3,0,5366499,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
27,EASTMAN KODAK CO,COM NEW,277461406,27513,8875211,SH,,OTR,1,0,8875211,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
28,EASTMAN KODAK CO,*W EXP 09/03/201,277461133,1,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
29,EASTMAN KODAK CO,*W EXP 09/03/201,277461141,1,115410,SH,,OTR,1,0,115410,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
30,ECLIPSE RES CORP,COM,27890G100,8184,3410000,SH,,OTR,1,0,3410000,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
31,ELLINGTON RESIDENTIAL MTG RE,COM SHS BEN INT,288578107,32384,2689702,SH,,SOLE,,2689702,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
32,ENABLE MIDSTREAM PARTNERS LP,COM UNIT RP IN,292480100,2910,204626,SH,,OTR,3,0,204626,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
33,ENBRIDGE ENERGY MANAGEMENT L,SHS UNITS LLI,29250X103,1967,146881,SH,,OTR,3,0,146881,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
34,ENBRIDGE ENERGY PARTNERS L P,COM,29250R106,71149,5152022,SH,,OTR,3,0,5152022,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
35,ENERGY TRANSFER EQUITY L P,COM UT LTD PTN,29273V100,775163,44910929,SH,,OTR,3,0,44910929,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
36,ENERGY TRANSFER PARTNERS LP,UNIT LTD PRT INT,29278N103,878684,49033718,SH,,OTR,3,0,49033718,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
37,ENLINK MIDSTREAM PARTNERS LP,COM UNIT REP LTD,29336U107,116059,7551002,SH,,OTR,3,0,7551002,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
38,ENTERPRISE PRODS PARTNERS L,COM,293792107,1100365,41507560,SH,,OTR,3,0,41507560,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
39,EQT GP HLDGS LP,COM UNIT REP,26885J103,4116,153000,SH,,OTR,3,0,153000,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
40,EQT MIDSTREAM PARTNERS LP,UNIT LTD PARTN,26885B100,148249,2028033,SH,,OTR,3,0,2028033,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
41,EXTENDED STAY AMER INC,UNIT 99/99/9999B,30224P200,2009,105716,SH,,SOLE,,105716,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
42,FGL HLDGS,ORD SHS,G3402M102,61810,6138000,SH,,OTR,1,0,6138000,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
43,FGL HLDGS,ORD SHS,G3402M102,373888,37128906,SH,,SOLE,,37128906,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
44,FGL HLDGS,*W EXP 11/30/202,G3402M110,13863,6250000,SH,,SOLE,,6250000,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
45,FRONTIER COMMUNICATIONS CORP,COM NEW,35906A306,1023,151266,SH,,OTR,1,0,151266,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
46,FS INVT CORP,COM,302635107,644,87655,SH,,SOLE,,87655,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
47,GENESIS ENERGY L P,UNIT LTD PARTN,371927104,8032,359384,SH,,OTR,3,0,359384,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
48,GOGO INC,COM,38046C109,3474,308002,SH,,OTR,1,0,308002,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
49,HAYMAKER ACQUISITION,UNIT 10/19/2022,420870206,12375,1250000,SH,,SOLE,,1250000,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
50,HESS MIDSTREAM PARTNERS LP,UNIT LTD PR INT,428104103,56912,2872896,SH,,OTR,3,0,2872896,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
51,HILTON GRAND VACATIONS INC,COM,43283X105,2444,58265,SH,,SOLE,,58265,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
52,HILTON WORLDWIDE HLDGS INC,COM,43300A203,1388885,17391494,SH,,SOLE,,17391494,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
53,HOLLY ENERGY PARTNERS L P,COM UT LTD PTN,435763107,21570,663897,SH,,OTR,3,0,663897,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
54,HOVNANIAN ENTERPRISES INC,CL A,442487203,20491,6116811,SH,,OTR,1,0,6116811,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
55,INVITATION HOMES INC,COM,46187W107,5184112,219945349,SH,,SOLE,,219945349,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
56,KINDER MORGAN INC DEL,COM,49456B101,56993,3154030,SH,,OTR,3,0,3154030,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
57,KOSMOS ENERGY LTD,SHS,G5315B107,363410,53052512,SH,,OTR,2,0,53052512,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
58,LA QUINTA HLDGS INC,COM,50420D108,649295,35173076,SH,,SOLE,,35173076,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
59,LEISURE ACQUISITION CORP,UNIT 99/99/9999,52539T206,8910,900000,SH,,SOLE,,900000,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
60,MAGELLAN MIDSTREAM PRTNRS LP,COM UNIT RP LP,559080106,99466,1402110,SH,,OTR,3,0,1402110,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
61,MARATHON PETE CORP,COM,56585A102,389,5898,SH,,OTR,3,0,5898,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
62,MICHAELS COS INC,COM,59408Q106,493320,20393531,SH,,OTR,2,0,20393531,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
63,MOSAIC ACQUISITION CORP,UNIT 99/99/9999,G62848117,11110,1100000,SH,,SOLE,,1100000,0,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
64,MPLX LP,COM UNIT REP LTD,55336V100,592760,16711584,SH,,OTR,3,0,16711584,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
65,NANTHEALTH INC,COM,630104107,1821,597037,SH,,OTR,2,0,597037,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
66,NGL ENERGY PARTNERS LP,COM UNIT REPST,62913M107,115498,8220516,SH,,OTR,3,0,8220516,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
67,NOBLE MIDSTREAM PARTNERS LP,COM UNIT REPST,65506L105,110139,2202780,SH,,OTR,3,0,2202780,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
68,NUSTAR ENERGY LP,UNIT COM,67058H102,143818,4801926,SH,,OTR,3,0,4801926,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
69,NUSTAR GP HOLDINGS LLC,UNIT RESTG LLC,67059L102,25890,1649064,SH,,OTR,3,0,1649064,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
70,OASIS MIDSTREAM PARTNERS LP,COM UNITS REPS,67420T206,13052,748414,SH,,OTR,3,0,748414,0,cik_number_0001393818,Blackstone Inc,2017-12-31,Form 13F-HR
