,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,BANKUNITED INC,COM,06652K103,255435,8189631,SH,,SOLE,,8189631,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
4,BEAZER HOMES,COM,07556Q881,24482,1360105,SH,,OTR,1,0,1360105,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
5,BEAZER HOMES,COM,07556Q881,9000,500000,SH,Call,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
6,BERRY PETE CO,CL A,085789105,2835,65736,SH,,OTR,1,0,65736,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
7,"BIOSCRIP, INC.",COM,09069N108,169,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
8,BLACKSTONE MTG TR INC,COM CL A,09257W100,61987,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
9,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,5023,260004,SH,,OTR,1,0,260004,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
10,CHENIERE ENERGY PARTNERS LP,COM UNITS,16411Q101,55965,2123087,SH,,OTR,1,0,2123087,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
11,CROCS INC.,COM,227046109,17895,1315821,SH,,OTR,1,0,1315821,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
12,CROSSTEX ENERGY INC,COM,22765Y104,146230,7000000,SH,,OTR,1,0,7000000,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
13,CROSSTEX ENERGY LP,COM,22765U102,17953,902162,SH,,OTR,1,0,902162,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
14,CUMULUS MEDIA INC,CL A,231082108,17538,3315238,SH,,SOLE,,3315238,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
15,DRYSHIPS INC.,NOTE 5.000% 12/0,262498AB4,62699,63856000,PRN,,OTR,1,0,63856000,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
16,ELLINGTON RESIDENTIAL MTG REIT,COM,288578107,39280,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
17,FELCOR LODGING TR INC,COM,31430F101,32395,5258862,SH,,OTR,1,0,5258862,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
18,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,3265679,196136895,SH,,OTR,,0,196136895,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
19,ISTAR FINL INC,COM,45031U101,32822,2726065,SH,,OTR,1,0,2726065,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
20,KOSMOS ENERGY LTD,SHS,G5315B107,1152388,112100012,SH,,SOLE,,112100012,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
21,MBIA INC.,COM,55262C100,43620,4263890,SH,,OTR,1,0,4263890,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
22,NIELSEN HOLDINGS N V,COM,N63218106,1264749,34698195,SH,,SOLE,,34698195,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
23,"OCEAN RIG UDW, INC.",SHS,Y64354205,23670,1300576,SH,,OTR,1,0,1300576,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
24,ORBITZ WORLDWIDE INC,COM,68557K109,32492,3374052,SH,,SOLE,,3374052,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
25,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,13312,2411556,SH,,SOLE,,2411556,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
26,PBF ENERGY INC,CL A,69318G106,581507,25902327,SH,,SOLE,,25902327,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
27,PENNEY J C INC,COM,708160106,11887,1350000,SH,Put,OTR,1,0,1350000,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
28,PINNACLE FOODS INC,COM,72348P104,2105004,79524145,SH,,SOLE,,79524145,0,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
29,RADIOSHACK CORP,COM,750438103,4970,1457576,SH,,OTR,1,0,1457576,0,cik_number_0001393818,Blackstone Inc,2013-09-30,Form 13F-HR
