,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AKOUOS INC,COM,00973J101,450,20000,SH,,OTR,4,0,20000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
4,ALBERTSONS COS INC,COMMON STOCK,013091103,22078,1400000,SH,,OTR,4,0,1400000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
5,ALLOGENE THERAPEUTICS INC,COM,019770106,5353,125000,SH,,OTR,4,0,125000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
6,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,39671,267850,SH,,SOLE,,267850,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
7,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,26400,178245,SH,,OTR,1,0,178245,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
8,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,70883,478586,SH,,OTR,3,0,478586,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
9,ALTICE USA INC,CL A,02156K103,8833,391901,SH,,OTR,4,0,391901,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
10,ALTUS MIDSTREAM CO,CL A,02215L100,147,231826,SH,,OTR,6,0,231826,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
11,ANTERO MIDSTREAM CORP,COM,03676B102,88127,17279866,SH,,OTR,6,0,17279866,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
12,APARTMENT INVT & MGMT CO,CL A,03748R754,40849,1085258,SH,,OTR,5,0,1085258,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
13,ARCHROCK INC,COM,03957W106,10546,1624936,SH,,OTR,6,0,1624936,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
14,ATLAS TECHNICAL CONSULTANTS,COM CL A,049430101,14396,2200000,SH,,OTR,1,0,2200000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
15,AVALONBAY CMNTYS INC,COM,053484101,144007,931240,SH,,OTR,5,0,931240,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
16,AVANTOR INC,COM,05352A100,1508,88735,SH,,OTR,1,0,88735,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
17,AVANTOR INC,COM,05352A100,7523,442507,SH,,OTR,4,0,442507,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
18,AXON ENTERPRISE INC,COM,05464C101,11825,120500,SH,,OTR,4,0,120500,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
19,AZEK CO INC,CL A,05478C105,7965,250000,SH,,OTR,4,0,250000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
20,BILL COM HLDGS INC,COM,090043100,15578,172686,SH,,OTR,4,0,172686,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
21,BLACK KNIGHT INC,COM,09215C105,7256,100000,SH,,OTR,4,0,100000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
22,BLACKSTONE MTG TR INC,COM CL A,09257W100,164531,6829864,SH,,SOLE,,7598043,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
23,BP MIDSTREAM PARTNERS LP,UNIT LTD PTNR,0556EL109,4055,353567,SH,,OTR,6,0,353567,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
24,BRP GROUP INC,COM CL A,05589G102,2591,150000,SH,,OTR,4,0,150000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
25,CANNAE HLDGS INC,COM,13765N107,16440,400000,SH,,OTR,4,0,400000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
26,CATABASIS PHARMACEUTICALS IN,COM NEW,14875P206,1291,200819,SH,,OTR,3,0,200819,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
27,CC NEUBERGER PRINCIPAL HLDNG,UNIT 99/99/9999,G1992Y106,10600,1000000,SH,,OTR,4,0,1000000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
28,CENTERPOINT ENERGY INC,COM,15189T107,141685,7588888,SH,,SOLE,,7588888,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
29,CHANGE HEALTHCARE INC,COM,15912K100,661316,59046102,SH,,OTR,2,0,59046102,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
30,CHANGE HEALTHCARE INC,COM,15912K100,6430,574151,SH,,OTR,1,0,574151,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
31,CHENIERE ENERGY INC,COM NEW,16411R208,426230,8820981,SH,,OTR,6,0,8820981,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
32,CHENIERE ENERGY INC,COM NEW,16411R208,1859,38480,SH,,SOLE,,38480,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
33,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,7109362,203240752,SH,,OTR,2,0,203240752,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
34,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,82925,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
35,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,9856,281763,SH,,OTR,6,0,281763,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
36,CHP MERGER CORP,UNIT 11/22/2024,12558Y205,4482,450000,SH,,OTR,4,0,450000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
37,CHURCHILL CAP CORP III,UNIT 03/01/2027,17144C203,19793,1750000,SH,,OTR,4,0,1750000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
38,CIIG MERGER CORP,UNIT 12/31/2026,12559C202,8170,801000,SH,,OTR,4,0,801000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
39,CIM COML TR CORP,COM NEW,125525584,802,74381,SH,,SOLE,,74381,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
40,CLARIVATE PLC,ORD SHS,G21810109,17864,800000,SH,,OTR,4,0,800000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
41,CLOUDFLARE INC,CL A COM,18915M107,35749,994400,SH,,OTR,4,0,994400,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
42,CNX MIDSTREAM PARTNERS LP,COM UNIT REPST,12654A101,5053,759881,SH,,OTR,6,0,759881,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
43,27154,500000,198287203,48709,3706900,SH,,OTR,5,0,3706900,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
44,CRESTWOOD EQUITY PARTNERS LP,UNIT LTD PARTNER,226344208,4690,357731,SH,,OTR,6,0,357731,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
45,CROWDSTRIKE HLDGS INC,CL A,22788C105,76736,765139,SH,,OTR,4,0,765139,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
46,DATADOG INC,CL A COM,23804L103,5730,65900,SH,,OTR,4,0,65900,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
47,DCP MIDSTREAM LLC,COM UT LTD PTN,23311P100,7246,641203,SH,,OTR,6,0,641203,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
48,DELEK LOGISTICS PARTNERS LP,COM UNT RP INT,24664T103,1495,65203,SH,,OTR,6,0,65203,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
49,DMY TECHNOLOGY GROUP INC,UNIT 99/99/9999,233253202,7406,700000,SH,,OTR,4,0,700000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
50,DROPBOX INC,CL A,26210C104,3931,180563,SH,,OTR,4,0,180563,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
51,EDISON INTL,COM,281020107,27154,500000,SH,Put,OTR,4,0,500000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
52,ELLINGTON RESIDENTIAL MTG RE,COM SHS BEN INT,288578107,34027,3303578,SH,,SOLE,,3103257,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
53,ENBRIDGE INC,COM,29250N105,291656,9587637,SH,,OTR,6,0,9587637,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
54,ENERGY TRANSFER LP,COM UT LTD PTN,29273V100,586047,82309944,SH,,OTR,2,0,82309944,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
55,ENERGY TRANSFER LP,COM UT LTD PTN,29273V100,32967,4630200,SH,,SOLE,,4630200,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
56,ENERGY TRANSFER LP,COM UT LTD PTN,29273V100,531437,74639961,SH,,OTR,6,0,74639961,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
57,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,4218,1728781,SH,,OTR,6,0,1728781,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
58,ENTASIS THERAPEUTICS HLDGS I,COM,293614103,3997,1350490,SH,,OTR,3,0,1350490,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
59,ENTERPRISE PRODS PARTNERS L,COM,293792107,413486,22756524,SH,,OTR,2,0,22756524,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
60,ENTERPRISE PRODS PARTNERS L,COM,293792107,41588,2288820,SH,,SOLE,,2288820,0,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
61,ENTERPRISE PRODS PARTNERS L,COM,293792107,942311,51860838,SH,,OTR,6,0,51860838,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
62,EQUINIX INC,COM,29444U700,31604,45000,SH,,OTR,4,0,45000,0,cik_number_0001393818,Blackstone Inc,2020-06-30,Form 13F-HR
