,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AGROFRESH SOLUTIONS,COM,00856G109,3195,402418,SH,,OTR,1,0,402418,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
4,AGROFRESH SOLUTIONS,*W EXP 07/31/202,00856G117,1095,500000,SH,,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
5,AMAZON COM INC,COM,023135106,62098,121312,SH,,SOLE,,121312,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
6,ANTERO RES CORP,COM,03674X106,167,7911,SH,,SOLE,,7911,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
7,APOLLO COML REAL EST FIN INC,COM,03762U105,24474,1557833,SH,,SOLE,,1557833,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
8,ARCH COAL INC,COM,039380308,7326,2220000,SH,Put,OTR,1,0,2220000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
9,AUTOZONE INC,COM,053332102,101633,140409,SH,,SOLE,,140409,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
10,AXOVANT SCIENCES LTD,COM,G0750W104,4569,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
11,BASIC ENERGY SVCS INC NEW,COM,06985P100,1034,313454,SH,,SOLE,,313454,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
12,BEAZER HOMES USA INC,COM NEW,07556Q881,7105,533000,SH,,SOLE,,533000,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
13,"BIOSCRIP, INC.",COM,09069N108,36,19224,SH,,OTR,1,0,19224,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
14,BLACKSTONE MTG TR INC,COM CL A,09257W100,119849,4367663,SH,,SOLE,,4367663,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
15,BOOZ ALLEN HAMILTON HLDG,CL A,099502106,3039,115960,SH,,OTR,1,0,115960,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
16,BRIXMOR PPTY GROUP INC,COM,11120U105,2854168,121557417,SH,,SOLE,,121557417,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
17,BURLINGTON STORES INC,COM,122017106,2511,49200,SH,,SOLE,,49200,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
18,CADENCE DESIGN SYSTEM INC,COM,127387108,41502,2006885,SH,,SOLE,,2006885,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
19,CATALENT INC,COM,148806102,629036,25886244,SH,,SOLE,,25886244,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
20,CHEMOURS CO,COM,163851108,6470,1000000,SH,Put,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
21,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,59873,2273087,SH,,OTR,1,0,2273087,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
22,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,68739,3615921,SH,,OTR,1,0,3615921,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
23,CONNS INC,COM,208242107,22476,934921,SH,,OTR,1,0,934921,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
24,DOLLAR GEN CORP NEW,COM,256677105,29639,409156,SH,,SOLE,,409156,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
25,DYNEGY INC NEW DEL,COM,26817R108,35445,1714800,SH,,SOLE,,1714800,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
26,EASTMAN KODAK CO,COM,277461406,132583,8488044,SH,,OTR,1,0,8488044,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
27,ECLIPSE RES CORP,COM,27890G100,6650,3410000,SH,,OTR,1,0,3410000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
28,ELLINGTON RESIDENTIAL MTG RE,COM SHS BEN INT,288578107,31051,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
29,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,27420,1500000,SH,,OTR,1,0,1500000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
30,ENVIVA PARTNERS LP,COM UNIT,29414J107,6432,514544,SH,,OTR,1,0,514544,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
31,ENVIVA PARTNERS LP,COM UNITS,26926V107,250,41663,SH,,SOLE,,41663,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
32,EXTENDED STAY AMER INC,COM,30224P200,799076,47620730,SH,,SOLE,,47620730,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
33,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,7205530,196980050,SH,,OTR,,0,196980050,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
34,GOOGLE INC,CL A,38259P508,85362,133718,SH,,SOLE,,133718,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
35,HCA HOLDINGS INC,COM,40412C101,95964,1240486,SH,,SOLE,,1240486,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
36,HILTON WORLDWIDE HLDGS INC,COM,43300A104,10387033,452791323,SH,,SOLE,,452791323,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
37,HOME DEPOT INC,COM,437076102,85588,741083,SH,,SOLE,,741083,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
38,HUDSON PAC PPTYS INC,COM,444097109,248351,8626311,SH,,SOLE,,8626311,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
39,IMPAX LABORATORIES INC,COM,45256B101,16218,460600,SH,,SOLE,,460600,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
40,INTELSAT S A,COM,L5140P101,7147,1111433,SH,,SOLE,,1111433,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
41,ISHARES TR,IBOXX HI YD ETF,464288513,41645,500000,SH,,OTR,1,0,500000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
42,ISHARES TR,IBOXX HI YD ETF,464288513,83290,1000000,SH,Call,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
43,JONES ENERGY INC,COM CL A,48019R108,11405,2380953,SH,,OTR,1,0,2380953,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
44,K12 INC,COM,48273U102,161,12923,SH,,SOLE,,12923,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
45,KOSMOS ENERGY LTD,SHS,G5315B107,538763,96552512,SH,,SOLE,,96552512,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
46,LA QUINTA HLDGS INC,COM,50420D108,555031,35173076,SH,,SOLE,,35173076,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
47,LAREDO PETROLEUM INC,COM,516806106,75,8000,SH,,SOLE,,8000,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
48,LIBERTY GLOBAL PLC,SHS CL A,G5480U104,17185,400200,SH,,SOLE,,400200,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
49,MASONITE INTL CORP NEW,COM,575385109,21948,362300,SH,,SOLE,,362300,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
50,MICHAELS COS INC,COM,59408Q106,1483355,64214483,SH,,SOLE,,64214483,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
51,MOHAWK INDS INC,COM,608190104,35807,196968,SH,,SOLE,,196968,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
52,NORTHERN OIL & GAS INC NEV,COM,665531109,6973,1577623,SH,,OTR,1,0,1577623,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
53,NORWEGIAN CRUISE LINE HLDGS,SHS,G66721104,43913,766377,SH,,SOLE,,766377,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
54,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,8826,2411556,SH,,SOLE,,2411556,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
55,PINNACLE ENTMT INC,COM,723456109,4966,146743,SH,,OTR,1,0,146743,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
56,PINNACLE ENTMT INC,CON,723456109,50760,1500000,SH,Call,OTR,1,0,1500000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
57,PROSHARES TR II,ULT BLMBG CD OIL,74347W320,0,3,SH,,OTR,1,0,3,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
58,PULTE GROUP INC,COM,745867101,58912,3122000,SH,,SOLE,,3122000,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
59,RENEWABLE ENERGY GROUP INC,COM NEW,75972A301,33,3987,SH,,SOLE,,3987,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
60,RETAILMENOT INC,COM SER 1,76132B106,18,2137,SH,,SOLE,,2137,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
61,SEARS HLDGS CORP,COM,812350106,12721,562879,SH,,OTR,1,0,562879,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
62,SEAWORLD ENTMT INC,COM,81282V100,347332,19502063,SH,,SOLE,,19502063,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
63,SERITAGE GROWTH PPTYS,CL A,81752R100,31128,835660,SH,,OTR,1,0,835660,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
64,SIX FLAGS ENTMT CORP NEW,COM,83001A102,63150,1379431,SH,,SOLE,,1379431,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
65,SOLAREDGE TECHNOLOGIES INC,COM,83417M104,214,9354,SH,,SOLE,,9354,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
66,SPDR S&P 500 ETF TR,TR UNIT,78462F103,1154,6024,SH,,SOLE,,6024,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
67,SPDR S&P 500 ETF TR,TR UNIT,78462f103,191630,1000000,SH,Put,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
68,SPDR SERIES TRUST,S&P REGL BKG,78464A698,120155,2917800,SH,Put,SOLE,,2917800,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
69,STARBUCKS CORP,COM,855244109,44647,785493,SH,,SOLE,,785493,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
70,SUNRUN INC,COM,86771W105,5185,500000,SH,,SOLE,,500000,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
71,SYNCHRONOSS TECHNOLOGIES INC,COM,87157B103,11,337,SH,,SOLE,,337,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
72,TRAVELPORT WORLDWIDE LTD,SHS,G9019D104,165313,12504740,SH,,SOLE,,12504740,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
73,TRIPADVISOR INC,COM,896945201,52672,835787,SH,,SOLE,,835787,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
74,UNION PAC CORP,COM,907818108,83835,948252,SH,,SOLE,,948252,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
75,UNITED RENTALS INC,COM,911363109,45964,765430,SH,,SOLE,,765430,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
76,UNIVAR INC,COM,91336L107,7557,416383,SH,,OTR,1,0,416383,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
77,VISA INC,COM CL A,92826C839,89862,1289997,SH,,SOLE,,1289997,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
78,VIVINT SOLAR INC,COM,92854Q106,863126,82359374,SH,,SOLE,,82359374,0,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
79,WMIH CORP,COM,92936P100,179,68897,SH,,OTR,1,0,68897,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
80,ZIMMER BIOMET HLDGS INC,COM,98956P102,2829036,30118560,SH,,OTR,,0,30118560,0,cik_number_0001393818,Blackstone Inc,2015-09-30,Form 13F-HR
