,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,BANKUNITED INC,COM,06652K103,213014,8189701,SH,,SOLE,0,8189701,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
4,BEAZER HOMES,COM,07556Q881,29147,1663656,SH,,OTR,1,0,1663656,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
5,BEAZER HOMES,COM,07556Q881,88,5000,SH,Call,OTR,1,0,5000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
6,"BIOSCRIP, INC.",COM,09069N108,317,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
7,BLACKSTONE MTG TR INC,COM CL A,09257W100,60781,2460784,SH,,SOLE,0,2460784,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
8,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,4519,260004,SH,,OTR,1,0,260004,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
9,CHENIERE ENERGY PARTNERS LP,COM UNITS,16411Q101,63160,2113087,SH,,OTR,1,0,2113087,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
10,CROCS INC.,COM,227046109,21711,1315821,SH,,OTR,1,0,1315821,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
11,CROSSTEX ENERGY INC,COM,22765Y104,138320,7000000,SH,,OTR,1,0,7000000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
12,CROSSTEX ENERGY LP,COM,22765U102,18603,902162,SH,,OTR,1,0,902162,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
13,CUMULUS MEDIA INC,CL A,231082108,11239,3315238,SH,,SOLE,0,3315238,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
14,DRYSHIPS INC.,NOTE 5.000% 12/0,262498AB4,66527,74490000,PRN,,OTR,1,0,74490000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
15,ELLINGTON RESIDENTIAL MTG REIT,COM,288578107,45617,2555599,SH,,SOLE,0,2555599,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
16,ENERGY TRANSFER EQUITY LP,COM UT LTD PTN,29273V100,15957,266743,SH,,OTR,1,0,266743,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
17,FELCOR LODGING TR INC,COM,31430F101,35844,6065004,SH,,OTR,1,0,6065004,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
18,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,2657655,196136895,SH,,OTR,0,0,99999999,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
19,ISTAR FINL INC,COM,45031U101,36140,3201065,SH,,OTR,1,0,3201065,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
20,KNIGHT CAPITAL GROUP INC,CL A COM,499005106,213283,56875360,SH,,SOLE,0,56875360,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
21,KOSMOS ENERGY LTD,SHS,G5315B107,1138936,112100012,SH,,SOLE,0,99999999,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
22,MBIA INC.,COM,55262C100,57955,4354208,SH,,OTR,1,0,4354208,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
23,MBIA INC.,COM,55262C100,399,30000,SH,Call,OTR,1,0,30000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
24,NIELSEN HOLDINGS N V,COM,N63218106,1165512,34698195,SH,,SOLE,0,34698195,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
25,"OCEAN RIG UDW, INC.",SHS,Y64354205,24360,1300576,SH,,OTR,1,0,1300576,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
26,ORBITZ WORLDWIDE INC,COM,68557K109,27094,3374052,SH,,SOLE,0,3374052,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
27,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,6101,2411556,SH,,SOLE,0,2411556,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
28,PBF ENERGY INC,CL A,69318G106,670870,25902327,SH,,SOLE,0,25902327,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
29,PINNACLE FOODS INC,COM,72348P104,1920508,79524145,SH,,SOLE,0,79524145,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
30,RADIOSHACK CORP,COM,750438103,7624,2412576,SH,,OTR,1,0,2412576,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
31,SARATOGA RES INC TEX,COM,803521103,7344,4800000,SH,,OTR,1,0,4800000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
32,SEAWORLD ENTMT INC,COM,81282V100,2061974,58745708,SH,,SOLE,1,0,58745708,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
33,SPDR SERIES TRUST,S&P REG BKG,78464A698,38457,1135100,SH,Put,SOLE,0,1135100,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
34,SSGA ACTIVE ETF TR,BLKSTN GSOSRLN,78467V608,39776,800000,SH,,SOLE,0,800000,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
35,TRW AUTOMOTIVE HLDGS CORP,COM,87264S106,682542,10273061,SH,,SOLE,0,10273061,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
36,UNITED STATES STL CORP NEW,COM,912909108,122,7000,SH,Put,OTR,1,0,7000,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
37,VANGUARD HEALTH SYS INC,COM,922036207,609814,29381568,SH,,SOLE,0,29381568,0,0,cik_number_0001393818,Blackstone Inc,2013-06-30,Form 13F-HR
