,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,ARCH COAL INC,COM,039380100,19842,5436100,SH,,OTR,1,0,5436100,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
4,BEAZER HOMES USA INC,COM,07556Q881,28616,1363968,SH,,OTR,1,0,1363968,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
5,BIOSCRIP INC,COM,09069N108,160,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,71363,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
7,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,3787,178317,SH,,OTR,1,0,178317,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
8,BOULEVARD ACQUISITION CORP,UNIT 99/99/9999,10157P203,10100,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
9,BRIXMOR PPTY GROUP INC,COM,11120U105,3265939,142306696,SH,,SOLE,,142306696,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
10,CARA THERAPEUTICS INC,COM,140755109,413,24254,SH,,SOLE,,24254,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
11,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,71799,2173087,SH,,OTR,1,0,2173087,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
12,CON-WAY INC,COM,205944101,49875,989384,SH,,OTR,1,0,989384,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
13,COTY INC,COM CL A,222070203,55,3228,SH,,SOLE,,3228,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
14,EASTMAN KODAK CO,COM NEW,277461406,201942,8252625,SH,,OTR,1,0,8252625,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
15,ELLINGTON RESIDENTIAL MTG REIT,COM SHS BEN INT,288578107,43522,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2014-06-30,Form 13F-HR-A
