,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AMAYA INC,COM,02314M108,249474,13977234,SH,,OTR,1,0,13977234,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
4,AXOVANT SCIENCES LTD,COM,G0750W104,8202,353669,SH,,SOLE,,353669,0,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
5,BIOSCRIP INC,COM,09069N108,46,16802,SH,,OTR,1,0,16802,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,145352,4599733,SH,,SOLE,,5263579,0,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
7,C&J ENERGY SVCS INC NEW,COM,12674R100,223462,6520635,SH,,OTR,1,0,6520635,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
8,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,35678,1101169,SH,,OTR,2,0,1101169,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
9,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,76808,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
10,CHENIERE ENERGY PTNRS LP HLD,COM REP LLC IN,16411W108,18397,684419,SH,,OTR,1,0,684419,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
11,CLEAR CHANNEL OUTDOOR HLDGS,CL A,18451C109,4234,873000,SH,,OTR,1,0,873000,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
12,CLOVIS ONCOLOGY INC,COM,189464100,307,3278,SH,,SOLE,,3278,0,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
13,COMSTOCK RES INC,NOTE 7.750% 4/0,205768AM6,814,1044131,PRN,,OTR,1,0,1044131,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
14,COMSTOCK RES INC,NOTE 9.500% 6/1,205768AN4,1655,2149731,PRN,,OTR,1,0,2149731,0,cik_number_0001393818,Blackstone Inc,2017-06-30,Form 13F-HR
