,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AIRCASTLE LTD,COM,G0129K104,2051,100000,SH,Call,SOLE,,100000,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
4,AIRCASTLE LTD,COM,G0129K104,4189,204327,SH,,SOLE,,204327,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
5,ALTAIR ENGR INC,COM CL A,021369103,13672,400000,SH,,SOLE,,400000,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
6,AMERICOLD RLTY TR,COM,03064D108,14612,663577,SH,,SOLE,,663577,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
7,APPLE INC,COM,037833100,2398,12957,SH,,SOLE,,12957,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
8,ARISTA NETWORKS INC,COM,040413106,3699,14364,SH,,SOLE,,14364,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
9,ARRIS INTL INC,SHS,G0551A103,3153,128939,SH,,SOLE,,128939,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
10,BJS WHSL CLUB HLDGS INC,COM,05550J101,1182,50000,SH,,SOLE,,50000,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
11,BLACKBAUD INC,COM,09227Q100,2144,20929,SH,,SOLE,,20929,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
12,BLACKSTONE MTG TR INC,COM CL A,09257W100,156764,4987713,SH,,SOLE,,5727621,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
13,BRIGHTVIEW HLDGS INC,COM,10948C107,1663,75727,SH,,SOLE,,75727,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
14,C&J ENERGY SVCS INC NEW,COM,12674R100,47687,2020635,SH,,OTR,1,0,2020635,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
15,CAESARS ENTMT CORP,COM,127686103,45497,4252048,SH,,OTR,2,0,4252048,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
16,CAESARS ENTMT CORP,COM,127686103,45497,4252048,SH,,SOLE,,4252048,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
17,CARBON BLACK INC,COM,14081R103,3603,138600,SH,,SOLE,,138600,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
18,CEVA INC,COM,157210105,76,2500,SH,,SOLE,,2500,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
19,CHARAH SOLUTIONS INC,COM,15957P105,1094,100000,SH,,SOLE,,100000,0,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
20,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,7225602,200990333,SH,,OTR,2,0,200990333,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
21,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,85224,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2018-06-30,Form 13F-HR
